Country (or dependency),Latitude,Longitude,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert Rate,Med. Age,Urban Pop %,World Share
Benin,9.30769,2.315834,12175480,2.73%,322049,108,112760,-2000,4.9,19,48%,0.16%
Bermuda,32.321384,-64.75737,62237,-0.36%,-228,1246,50,,N.A.,N.A.,97%,0.00%
Bhutan,27.514162,90.433601,773069,1.12%,8516,20,38117,320,2,28,46%,0.01%
Bolivia,-16.290154,-63.588653,11700207,1.39%,159921,11,1083300,-9504,2.8,26,69%,0.15%
Bosnia and Herzegovina,43.915886,17.679076,3277152,-0.61%,-20181,64,51000,-21585,1.3,43,52%,0.04%
Botswana,-22.328474,24.684866,2359585,2.08%,47930,4,566730,3000,2.9,24,73%,0.03%
Brazil,-14.235004,-51.92528,212821986,0.72%,1509890,25,8358140,21200,1.7,33,88%,2.73%
British Virgin Islands,18.420695,-64.639968,30266,0.67%,201,202,150,,N.A.,N.A.,52%,0.00%
Brunei,4.535277,114.727669,438202,0.97%,4194,83,5270,0,1.8,32,80%,0.01%
Bulgaria,42.733883,25.48583,6939018,-0.74%,-51674,64,108560,-4800,1.6,45,76%,0.09%
Burkina Faso,12.238333,-1.561593,20997293,2.86%,581895,76,273600,-25000,5.2,18,31%,0.27%
Burundi,-3.373056,29.918886,11948454,3.12%,360204,463,25680,2001,5.5,17,14%,0.15%
Cabo Verde,16.002082,-24.013197,557026,1.10%,6052,138,4030,-1342,2.3,28,68%,0.01%
Cambodia,12.565679,104.990963,16758448,1.41%,232423,95,176520,-30000,2.5,26,24%,0.21%
Cameroon,7.369722,12.354722,26655083,2.59%,669483,56,472710,-4800,4.6,19,56%,0.34%
Canada,56.130366,-106.346771,37799407,0.89%,331107,4,9093510,242032,1.5,41,81%,0.48%
Caribbean Netherlands,12.20189,-68.262383,26265,0.94%,244,80,328,,N.A.,N.A.,75%,0.00%
Cayman Islands,19.513469,-80.566956,65854,1.19%,774,274,240,,N.A.,N.A.,97%,0.00%
Central African Republic,6.611111,20.939444,4843954,1.78%,84582,8,622980,-40000,4.8,18,43%,0.06%
Chad,15.454166,18.732207,16502877,3.00%,478988,13,1259200,2000,5.8,17,23%,0.21%
Channel Islands,49.372284,-2.364351,174140,0.93%,1604,915,190,1351,1.5,43,30%,0.00%
Chile,-35.675147,-71.542969,19144605,0.87%,164163,26,743532,111708,1.7,35,85%,0.25%
China,35.86166,104.195397,1440297825,0.39%,5540090,153,9388211,-348399,1.7,38,61%,18.47%
Colombia,4.570868,-74.297333,50976248,1.08%,543448,46,1109500,204796,1.8,31,80%,0.65%
Comoros,-11.875001,43.872219,872695,2.20%,18715,467,1861,-2000,4.2,20,29%,0.01%
Congo,-0.228021,15.827659,5540555,2.56%,137579,16,341500,-4000,4.5,19,70%,0.07%
Cook Islands,-21.236736,-159.777671,17567,0.09%,16,73,240,,N.A.,N.A.,75%,0.00%
Costa Rica,9.748917,-83.753428,5102158,0.92%,46557,100,51060,4200,1.8,33,80%,0.07%
Côte d'Ivoire,7.539989,-5.54708,26486282,2.57%,661730,83,318000,-8000,4.7,19,51%,0.34%
Croatia,45.1,15.2,4100719,-0.61%,-25037,73,55960,-8001,1.4,44,58%,0.05%
Cuba,21.521757,-77.781167,11325391,-0.06%,-6867,106,106440,-14400,1.6,42,78%,0.15%
Curaçao,12.16957,-68.990021,164211,0.41%,669,370,444,515,1.8,42,89%,0.00%
Cyprus,35.126413,33.429859,1208886,0.73%,8784,131,9240,5000,1.3,37,67%,0.02%
Czech Republic,49.817492,15.472962,10712481,0.18%,19772,139,77240,22011,1.6,43,74%,0.14%
Denmark,56.26392,9.501785,5795780,0.35%,20326,137,42430,15200,1.8,42,88%,0.07%
Djibouti,11.825138,42.590275,990447,1.48%,14440,43,23180,900,2.8,27,79%,0.01%
Dominica,15.414999,-61.370976,72017,0.25%,178,96,750,,N.A.,N.A.,74%,0.00%
Dominican Republic,18.735693,-70.162651,10866667,1.01%,108952,225,48320,-30000,2.4,28,85%,0.14%
DR Congo,-4.038333,21.758664,90003954,3.19%,2770836,40,2267050,23861,6,17,46%,1.15%
Ecuador,-1.831239,-78.183406,17688599,1.55%,269392,71,248360,36400,2.4,28,63%,0.23%
Egypt,26.820553,30.802498,102659126,1.94%,1946331,103,995450,-38033,3.3,25,43%,1.31%
El Salvador,13.794185,-88.89653,6491923,0.51%,32652,313,20720,-40539,2.1,28,73%,0.08%
Equatorial Guinea,1.650801,10.267895,1410419,3.47%,46999,50,28050,16000,4.6,22,73%,0.02%
Eritrea,15.179384,39.782334,3554797,1.41%,49304,35,101000,-39858,4.1,19,63%,0.05%
Estonia,58.595272,25.013607,1326693,0.07%,887,31,42390,3911,1.6,42,68%,0.02%
Eswatini,-26.522503,31.465866,1162233,1.05%,12034,67,17200,-8353,3,21,30%,0.01%
Ethiopia,9.145,40.489673,115434444,2.57%,2884858,115,1000000,30000,4.3,19,21%,1.47%
Falkland Islands,-51.796253,-59.523613,3497,3.05%,103,0,12170,,N.A.,N.A.,66%,0.00%
Faroe Islands,61.892635,-6.911806,48896,0.38%,185,35,1396,,N.A.,N.A.,43%,0.00%
Fiji,-16.578193,179.414413,897573,0.73%,6492,49,18270,-6202,2.8,28,59%,0.01%
Finland,61.92411,25.748151,5542237,0.15%,8564,18,303890,14000,1.5,43,86%,0.07%
France,46.227638,2.213749,65298930,0.22%,143783,119,547557,36527,1.9,42,82%,0.84%
French Guiana,3.933889,-53.125782,299958,2.70%,7850,4,82200,1200,3.4,25,87%,0.00%
French Polynesia,-17.679742,-149.406843,281191,0.58%,1621,77,3660,-1000,2,34,64%,0.00%
Gabon,-0.803689,11.609444,2234448,2.45%,53155,9,257670,3260,4,23,87%,0.03%
Gambia,13.443182,-15.310139,2427782,2.94%,68962,239,10120,-3087,5.3,18,59%,0.03%
Georgia,42.315407,43.356892,3987805,-0.19%,-7598,57,69490,-10000,2.1,38,58%,0.05%
Germany,51.165691,10.451526,83830972,0.32%,266897,240,348560,543822,1.6,46,76%,1.07%
Ghana,7.946527,-1.023194,31181428,2.15%,655084,137,227540,-10000,3.9,22,57%,0.40%
Gibraltar,36.137741,-5.345374,33689,-0.03%,-10,3369,10,,N.A.,N.A.,N.A.,0.00%
Greece,39.074208,21.824312,10413936,-0.48%,-50401,81,128900,-16000,1.3,46,85%,0.13%
Greenland,71.706936,-42.604303,56787,0.17%,98,0,410450,,N.A.,N.A.,87%,0.00%
Grenada,12.262776,-61.604171,112614,0.46%,520,331,340,-200,2.1,32,35%,0.00%
Guadeloupe,16.995971,-62.067641,400136,0.02%,68,237,1690,-1440,2.2,44,N.A.,0.01%
Guam,13.444304,144.793731,169031,0.89%,1481,313,540,-506,2.3,31,95%,0.00%
Guatemala,15.783471,-90.230759,17971382,1.90%,334096,167,107160,-9215,2.9,23,52%,0.23%
Guinea,9.945587,-9.696645,13191279,2.83%,361549,53,245720,-4000,4.7,18,39%,0.17%
Guinea-Bissau,11.803749,-15.180413,1975718,2.45%,47079,70,28120,-1399,4.5,19,45%,0.03%
Guyana,4.860416,-58.93018,787215,0.48%,3786,4,196850,-6000,2.5,27,27%,0.01%
Haiti,18.971187,-72.285215,11426356,1.24%,139451,414,27560,-35000,3,24,57%,0.15%
Holy See,41.902916,12.453389,801,0.25%,2,2003,0,,N.A.,N.A.,N.A.,0.00%
Honduras,15.199999,-86.241905,9931333,1.63%,158490,89,111890,-6800,2.5,24,57%,0.13%
Hong Kong,22.396428,114.109497,7507523,0.82%,60827,7140,1050,29308,1.3,45,N.A.,0.10%
Hungary,47.162494,19.503304,9655983,-0.25%,-24328,107,90530,6000,1.5,43,72%,0.12%
Iceland,64.963051,-19.020835,341628,0.65%,2212,3,100250,380,1.8,37,94%,0.00%
India,20.593684,78.96288,1382345085,0.99%,13586631,464,2973190,-532687,2.2,28,35%,17.70%
Indonesia,-0.789275,113.921327,274021604,1.07%,2898047,151,1811570,-98955,2.3,30,56%,3.51%
Iran,32.427908,53.688046,84176929,1.30%,1079043,52,1628550,-55000,2.2,32,76%,1.08%
Iraq,33.223191,43.679291,40372771,2.32%,912710,93,434320,7834,3.7,21,73%,0.52%
Ireland,53.41291,-8.24389,4947267,1.13%,55291,72,68890,23604,1.8,38,63%,0.06%
Isle of Man,54.236107,-4.548056,85112,0.53%,449,149,570,,N.A.,N.A.,53%,0.00%
Israel,31.046051,34.851612,8678517,1.60%,136158,400,21640,10000,3,30,93%,0.11%
Italy,41.87194,12.56738,60446035,-0.15%,-88249,206,294140,148943,1.3,47,69%,0.78%
Jamaica,18.109581,-77.297508,2963429,0.44%,12888,273,10830,-11332,2,31,55%,0.04%
Japan,36.204824,138.252924,126407422,-0.30%,-383840,347,364555,71560,1.4,48,92%,1.62%
Jordan,30.585164,36.238414,10220604,1.00%,101440,115,88780,10220,2.8,24,91%,0.13%
Kazakhstan,48.019573,66.923684,18815231,1.21%,225280,7,2699700,-18000,2.8,31,58%,0.24%
Kenya,-0.023559,37.906193,53968739,2.28%,1197323,94,569140,-10000,3.5,20,28%,0.69%
Kiribati,-3.370417,-168.734039,119760,1.57%,1843,147,810,-800,3.6,23,57%,0.00%
Kuwait,29.31166,47.481766,4281320,1.51%,63488,240,17820,39520,2.1,37,N.A.,0.05%
Kyrgyzstan,41.20438,74.766098,6542426,1.69%,108345,34,191800,-4000,3,26,36%,0.08%
Laos,19.85627,102.495496,7293542,1.48%,106105,32,230800,-14704,2.7,24,36%,0.09%
Latvia,56.879635,24.603189,1882408,-1.08%,-20545,30,62200,-14837,1.7,44,69%,0.02%
Lebanon,33.854721,35.862285,6819976,-0.44%,-30268,667,10230,-30012,2.1,30,78%,0.09%
Lesotho,-29.609988,28.233608,2145194,0.80%,16981,71,30360,-10047,3.2,24,31%,0.03%
Liberia,6.428055,-9.429499,5077411,2.44%,120307,53,96320,-5000,4.4,19,53%,0.06%
Libya,26.3351,17.228331,6887247,1.38%,93840,4,1759540,-1999,2.3,29,78%,0.09%
Liechtenstein,47.166,9.555373,38147,0.29%,109,238,160,,N.A.,N.A.,15%,0.00%
Lithuania,55.169438,23.881275,2715340,-1.35%,-37338,43,62674,-32780,1.7,45,71%,0.03%
Luxembourg,49.815273,6.129583,627704,1.66%,10249,242,2590,9741,1.5,40,88%,0.01%
Macao,22.198745,113.543873,650846,1.39%,8890,21645,30,5000,1.2,39,N.A.,0.01%
Madagascar,-18.766947,46.869107,27808395,2.68%,721711,48,581795,-1500,4.1,20,39%,0.36%
Malawi,-13.254308,34.301525,19211425,2.69%,501205,203,94280,-16053,4.3,18,18%,0.25%
Malaysia,4.210484,101.975766,32436963,1.30%,416222,99,328550,50000,2,30,78%,0.42%
Maldives,3.202778,73.22068,542151,1.81%,9591,1802,300,11370,1.9,30,35%,0.01%
Mali,17.570692,-3.996166,20346106,3.02%,592802,17,1220190,-40000,5.9,16,44%,0.26%
Malta,35.937496,14.375416,441750,0.27%,1171,1380,320,900,1.5,43,93%,0.01%
Marshall Islands,7.131474,171.184478,59259,0.68%,399,329,180,,N.A.,N.A.,70%,0.00%
Martinique,14.641528,-61.024174,375213,-0.08%,-289,354,1060,-960,1.9,47,92%,0.00%
Mauritania,21.00789,-10.940835,4669775,2.74%,123962,5,1030700,5000,4.6,20,57%,0.06%
Mauritius,-20.348404,57.552152,1272140,0.17%,2100,626,2030,0,1.4,37,41%,0.02%
Mayotte,-12.8275,45.166244,273905,2.50%,6665,728,375,0,3.7,20,46%,0.00%
Mexico,23.634501,-102.552784,129166028,1.06%,1357224,66,1943950,-60000,2.1,29,84%,1.65%
Micronesia,7.425554,150.550812,115231,1.06%,1208,164,700,-600,3.1,24,21%,0.00%
Moldova,47.411631,28.369885,4032294,-0.23%,-9300,123,32850,-1387,1.3,38,43%,0.05%
Monaco,43.750298,7.412841,39290,0.71%,278,26337,1,,N.A.,N.A.,N.A.,0.00%
Mongolia,46.862496,103.846656,3287242,1.65%,53123,2,1553560,-852,2.9,28,67%,0.04%
Montenegro,42.708678,19.37439,628080,0.01%,79,47,13450,-480,1.8,39,68%,0.01%
Montserrat,16.742498,-62.187366,4993,0.06%,3,50,100,,N.A.,N.A.,10%,0.00%
Morocco,31.791702,-7.09262,36985624,1.20%,438791,83,446300,-51419,2.4,30,64%,0.47%
Mozambique,-18.665695,35.529562,31398811,2.93%,889399,40,786380,-5000,4.9,18,38%,0.40%
Myanmar,21.913965,95.956223,54473253,0.67%,364380,83,653290,-163313,2.2,29,31%,0.70%
Namibia,-22.95764,18.49041,2548663,1.86%,46375,3,823290,-4806,3.4,22,55%,0.03%
Nauru,-0.522778,166.931503,10836,0.63%,68,541,20,,N.A.,N.A.,N.A.,0.00%
Nepal,28.394857,84.124008,29225196,1.85%,528098,203,143350,41710,1.9,25,21%,0.37%
Netherlands,52.132633,5.291266,17141544,0.22%,37742,508,33720,16000,1.7,43,92%,0.22%
New Caledonia,-20.904305,165.618042,285972,0.97%,2748,16,18280,502,2,34,72%,0.00%
New Zealand,-40.900557,174.885971,4829021,0.82%,39170,18,263310,14881,1.9,38,87%,0.06%
Nicaragua,12.865416,-85.207229,6638075,1.21%,79052,55,120340,-21272,2.4,26,57%,0.08%
Niger,17.607789,8.081666,24346468,3.84%,895929,19,1266700,4000,7,15,17%,0.31%
Nigeria,9.081999,8.675277,206984347,2.58%,5175990,226,910770,-60000,5.4,18,52%,2.64%
Niue,-19.054445,-169.867233,1628,0.68%,11,6,260,,N.A.,N.A.,46%,0.00%
North Korea,40.339852,127.510093,25798588,0.44%,112655,214,120410,-5403,1.9,35,63%,0.33%
North Macedonia,41.608635,21.745275,2083359,0.00%,-85,83,25220,-1000,1.5,39,59%,0.03%
Northern Mariana Islands,17.33083,145.38469,57619,0.60%,343,125,460,,N.A.,N.A.,88%,0.00%
Norway,60.472024,8.468946,5428594,0.79%,42384,15,365268,28000,1.7,40,83%,0.07%
Oman,21.512583,55.923255,5128058,2.65%,131640,16,309500,87400,2.9,31,87%,0.07%
Pakistan,30.375321,69.345116,221612785,2.00%,4327022,287,770880,-233379,3.6,23,35%,2.83%
Palau,7.51498,134.58252,18109,0.48%,86,39,460,,N.A.,N.A.,N.A.,0.00%
Panama,8.537981,-80.782127,4326296,1.61%,68328,58,74340,11200,2.5,30,68%,0.06%
Papua New Guinea,-6.314993,143.95555,8975531,1.95%,170915,20,452860,-800,3.6,22,13%,0.11%
Paraguay,-23.442503,-58.443832,7147553,1.25%,87902,18,397300,-16556,2.4,26,62%,0.09%
Peru,-9.189967,-75.015152,33050211,1.42%,461401,26,1280000,99069,2.3,31,79%,0.42%
Philippines,12.879721,121.774017,109830324,1.35%,1464463,368,298170,-67152,2.6,26,47%,1.41%
Poland,51.919438,19.145136,37839255,-0.11%,-41157,124,306230,-29395,1.4,42,60%,0.49%
Portugal,39.399872,-8.224454,10191409,-0.29%,-29478,111,91590,-6000,1.3,46,66%,0.13%
Puerto Rico,18.220833,-66.590149,2846860,-2.47%,-72555,323,8870,-97986,1.2,44,N.A.,0.04%
Qatar,25.354826,51.183884,2889284,1.73%,48986,248,11610,40000,1.9,32,96%,0.04%
Réunion,-21.115141,55.536384,896422,0.72%,6385,358,2500,-1256,2.3,36,100%,0.01%
Romania,45.943161,24.96676,19214608,-0.66%,-126866,84,230170,-73999,1.6,43,55%,0.25%
Russia,61.52401,105.318756,145945524,0.04%,62206,9,16376870,182456,1.8,40,74%,1.87%
Rwanda,-1.940278,29.873888,13005303,2.58%,325268,525,24670,-9000,4.1,20,18%,0.17%
Saint Barthelemy,17.9,-62.833333,9882,0.30%,30,470,21,,N.A.,N.A.,0%,0.00%
Saint Helena,-24.143474,-10.030696,6080,0.30%,18,16,390,,N.A.,N.A.,27%,0.00%
Saint Kitts & Nevis,17.357822,-62.782998,53264,0.71%,376,205,260,,N.A.,N.A.,33%,0.00%
Saint Lucia,13.909444,-60.978893,183774,0.46%,837,301,610,0,1.4,34,19%,0.00%
Saint Martin,18.075277,-63.060001,38778,1.75%,664,730,53,,N.A.,N.A.,0%,0.00%
Saint Pierre & Miquelon,46.941936,-56.27111,5789,-0.48%,-28,25,230,,N.A.,N.A.,100%,0.00%
Samoa,-13.759029,-172.104629,198643,0.67%,1317,70,2830,-2803,3.9,22,18%,0.00%
San Marino,43.94236,12.457777,33944,0.21%,71,566,60,,N.A.,N.A.,97%,0.00%
Sao Tome & Principe,0.18636,6.613081,219844,1.91%,4103,228,960,-1680,4.4,19,74%,0.00%
Saudi Arabia,23.885942,45.079162,34905942,1.59%,545343,16,2149690,134979,2.3,32,84%,0.45%
Senegal,14.497401,-14.452362,16816539,2.75%,447563,87,192530,-20000,4.7,19,49%,0.21%
Serbia,44.016521,21.005859,8731081,-0.40%,-34864,100,87460,4000,1.5,42,56%,0.11%
Seychelles,-4.679574,55.491977,98453,0.62%,608,214,460,-200,2.5,34,56%,0.00%
Sierra Leone,8.460555,-11.779889,8004158,2.10%,163768,111,72180,-4200,4.3,19,43%,0.10%
Singapore,1.352083,103.819836,5858322,0.79%,46005,8358,700,27028,1.2,42,N.A.,0.08%
Slovakia,48.669026,19.699024,5460109,0.05%,2629,114,48088,1485,1.5,41,54%,0.07%
Slovenia,46.151241,14.995463,2078989,0.01%,284,103,20140,2000,1.6,45,55%,0.03%
Solomon Islands,-9.64571,160.156194,689671,2.55%,17061,25,27990,-1600,4.4,20,23%,0.01%
Somalia,5.152149,46.199616,15965848,2.92%,450317,25,627340,-40000,6.1,17,47%,0.20%
South Africa,-30.559482,22.937506,59436725,1.28%,750420,49,1213090,145405,2.4,28,67%,0.76%
South Korea,35.907757,127.766922,51276977,0.09%,43877,527,97230,11731,1.1,44,82%,0.66%
South Sudan,4.859363,31.571251,11216250,1.19%,131612,18,610952,-174200,4.7,19,25%,0.14%
Spain,40.463667,-3.74922,46757980,0.04%,18002,94,498800,40000,1.3,45,80%,0.60%
Sri Lanka,7.873054,80.771797,21428970,0.42%,89516,341,62710,-97986,2.2,34,18%,0.27%
St. Vincent & Grenadines,12.984305,-61.287228,111002,0.32%,351,284,390,-200,1.9,33,53%,0.00%
State of Palestine,31.952162,35.233154,5121112,2.41%,119994,847,6020,-10563,3.7,21,80%,0.07%
Sudan,12.862807,30.217636,44019263,2.42%,1036022,25,1765048,-50000,4.4,20,35%,0.56%
Suriname,3.919305,-56.027783,587541,0.90%,5260,4,156000,-1000,2.4,29,65%,0.01%
Sweden,60.128161,18.643501,10110233,0.63%,62886,25,410340,40000,1.9,41,88%,0.13%
Switzerland,46.818188,8.227512,8665615,0.74%,63257,219,39516,52000,1.5,43,74%,0.11%
Syria,34.802075,38.996815,17571053,2.52%,430523,95,183630,-427391,2.8,26,60%,0.22%
Taiwan,23.69781,120.960515,23824369,0.18%,42899,673,35410,30001,1.2,42,79%,0.31%
Tajikistan,38.861034,71.276093,9573310,2.32%,216627,68,139960,-20000,3.6,22,27%,0.12%
Tanzania,-6.369028,34.888822,60012400,2.98%,1728755,67,885800,-40076,4.9,18,37%,0.77%
Thailand,15.870032,100.992541,69830779,0.25%,174396,137,510890,19444,1.5,40,51%,0.90%
Timor-Leste,-8.874217,125.727539,1322667,1.96%,25326,89,14870,-5385,4.1,21,33%,0.02%
Togo,8.619543,0.824782,8310934,2.43%,196358,152,54390,-2000,4.4,19,43%,0.11%
Tokelau,-8.967363,-171.855881,1360,1.27%,17,136,10,,N.A.,N.A.,0%,0.00%
Tonga,-21.178986,-175.198242,105901,1.15%,1201,147,720,-800,3.6,22,24%,0.00%
Trinidad and Tobago,10.691803,-61.222503,1400283,0.32%,4515,273,5130,-800,1.7,36,52%,0.02%
Tunisia,33.886917,9.537499,11839918,1.06%,123900,76,155360,-4000,2.2,33,70%,0.15%
Turkey,38.963745,35.243322,84495243,1.09%,909452,110,769630,283922,2.1,32,76%,1.08%
Turkmenistan,38.969719,59.556278,6046292,1.50%,89111,13,469930,-5000,2.8,27,53%,0.08%
Turks and Caicos,21.694025,-71.797928,38806,1.38%,526,41,950,,N.A.,N.A.,89%,0.00%
Tuvalu,-7.109535,177.64933,11817,1.25%,146,393,30,,N.A.,N.A.,62%,0.00%
U.S. Virgin Islands,18.335765,-64.896335,104398,-0.15%,-153,298,350,-451,2,43,96%,0.00%
Uganda,1.373333,32.290275,45974931,3.32%,1471413,229,199810,168694,5,17,26%,0.59%
Ukraine,48.379433,31.16558,43686577,-0.59%,-259876,75,579320,10000,1.4,41,69%,0.56%
United Arab Emirates,23.424076,53.847818,9910892,1.23%,119873,118,83600,40000,1.4,33,86%,0.13%
United Kingdom,55.378051,-3.435973,67948282,0.53%,355839,281,241930,260650,1.8,40,83%,0.87%
United States of America,37.09024,-95.712891,331341050,0.59%,1937734,36,9147420,954806,1.8,38,83%,4.25%
Uruguay,-32.522779,-55.765835,3475842,0.35%,11996,20,175020,-3000,2,36,96%,0.04%
Uzbekistan,41.377491,64.585262,33551824,1.48%,487487,79,425400,-8863,2.4,28,50%,0.43%
Vanuatu,-15.376706,166.959158,308337,2.42%,7263,25,12190,120,3.8,21,24%,0.00%
Venezuela,6.42375,-66.58973,28421581,-0.28%,-79889,32,882050,-653249,2.3,30,N.A.,0.36%
Vietnam,14.058324,108.277199,97490013,0.91%,876473,314,310070,-80000,2.1,32,38%,1.25%
Wallis & Futuna,-13.768752,-177.156097,11203,-1.69%,-193,80,140,,N.A.,N.A.,0%,0.00%
Western Sahara,24.215527,-12.885834,599769,2.55%,14876,2,266000,5582,2.4,28,87%,0.01%
Yemen,15.552727,48.516388,29935468,2.28%,664042,56,527970,-30000,3.8,20,38%,0.38%
Zambia,-13.133897,27.849332,18468257,2.93%,522925,25,743390,-8000,4.7,18,45%,0.24%
Zimbabwe,-19.015438,29.154857,14899771,1.48%,217456,38,386850,-116858,3.6,19,38%,0.19%
